wavelength,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
400,0.254181063,0.314540287,0.062774644,0.278464965,0.203507229,0.058054999,0.050587608,0.229767383,0.160080535,0.182820579,0.06999,0.062425095,0.173568173,0.307866547,0.049407075,0.060380441,0.064524183,0.118970841,0.440190711,0.375901467,0.274706373,0.165262258,0.088715493,0.036596273
401,0.260772688,0.327373576,0.062243478,0.287799834,0.205163428,0.057231008,0.049685039,0.237280874,0.162669694,0.184708152,0.069687965,0.062367785,0.176945559,0.321143158,0.04903911,0.060538463,0.064112531,0.123421918,0.467493834,0.392445329,0.283124055,0.16704592,0.089419478,0.037239988
402,0.265071526,0.338661359,0.063064856,0.298631052,0.208637316,0.057886149,0.050798786,0.244811968,0.162747252,0.190495039,0.070916824,0.062556593,0.182080083,0.332207708,0.049333951,0.060374945,0.065579944,0.126467459,0.496673424,0.410797186,0.291368026,0.168093021,0.089203346,0.037922184
403,0.272011075,0.349506229,0.061307266,0.306986445,0.210872443,0.058294196,0.050158089,0.248104275,0.161784359,0.192047205,0.070383933,0.062179557,0.185245027,0.339565661,0.049371527,0.059947499,0.064915428,0.129189348,0.526429136,0.426381825,0.299273353,0.169100132,0.088473775,0.037181554
404,0.277597351,0.359962593,0.061762583,0.316424173,0.213680634,0.058601637,0.050641398,0.253834606,0.162344576,0.194684032,0.070681748,0.061993433,0.189522628,0.348726106,0.049729647,0.059404981,0.065248115,0.132481135,0.558494267,0.447053608,0.306664491,0.172444609,0.08919011,0.037242557
405,0.284365607,0.368846987,0.061439551,0.319097502,0.217586889,0.057862813,0.05115184,0.259178503,0.163979498,0.198552921,0.069964642,0.06265428,0.195501034,0.353003185,0.049483147,0.060246381,0.065315766,0.134016638,0.587245529,0.46330059,0.312886931,0.173137089,0.089351734,0.036441948
406,0.285143782,0.372810446,0.061719851,0.327464552,0.216018058,0.058841616,0.050700832,0.264731336,0.163506985,0.19876266,0.07006518,0.061827442,0.197527897,0.357283891,0.049267143,0.05893125,0.064869724,0.136456364,0.615651321,0.47374042,0.31386722,0.17462254,0.090050781,0.036868471
407,0.289361968,0.378930407,0.061107542,0.333462899,0.216318273,0.058340219,0.050491903,0.270410867,0.163439332,0.199819723,0.070235263,0.061984899,0.201447989,0.361553985,0.049872485,0.059389176,0.065377142,0.139312843,0.644244411,0.487041394,0.317849103,0.176799642,0.09031666,0.037246332
408,0.291823113,0.386269899,0.060719964,0.336845633,0.217506763,0.058263154,0.050602416,0.274848457,0.16320479,0.200334849,0.070240244,0.061054358,0.204873837,0.363958077,0.049945962,0.059077092,0.064583719,0.141583759,0.673815129,0.496721831,0.32044824,0.177746132,0.090386917,0.037210036
409,0.294238383,0.394425682,0.060666616,0.341029452,0.217840195,0.059411177,0.05074748,0.279696183,0.163590586,0.200917687,0.071590764,0.062060391,0.209033988,0.365303339,0.049616884,0.058354269,0.065225897,0.145346305,0.701087229,0.50871119,0.324362725,0.178455923,0.089400639,0.037072823
410,0.299063194,0.400263209,0.060028262,0.344170509,0.218639319,0.059140324,0.050603527,0.286307128,0.162707089,0.204134285,0.070667104,0.06208661,0.211310354,0.370036894,0.050709047,0.05876916,0.066124163,0.149636858,0.729512265,0.514585068,0.328494497,0.178775213,0.089906752,0.037596447
411,0.299429997,0.402149378,0.060024382,0.346134561,0.219794019,0.058413205,0.05046497,0.289503961,0.162396042,0.202880424,0.070678719,0.061659797,0.214970441,0.368562446,0.049859902,0.057658357,0.065378182,0.151358119,0.754358095,0.522351066,0.330807467,0.178354411,0.090116953,0.036564433
412,0.302660038,0.406207426,0.060065096,0.349046625,0.219422454,0.05869336,0.049425074,0.293776841,0.161613648,0.20446319,0.069855146,0.060249908,0.21940742,0.373653167,0.050432808,0.058093189,0.065340874,0.155565183,0.781216218,0.532668476,0.332774999,0.179960431,0.090256995,0.036932483
413,0.30359501,0.40906405,0.060408444,0.349583332,0.221004439,0.058520959,0.050565093,0.298588377,0.161492093,0.20449673,0.070600487,0.061598159,0.221183186,0.374790118,0.050899524,0.057937015,0.06477776,0.160715588,0.801218244,0.533701796,0.331875495,0.181260974,0.09032802,0.037362387
414,0.309785558,0.414717498,0.061520539,0.349729068,0.221120546,0.058591288,0.050787552,0.30345251,0.161926207,0.204712724,0.071200688,0.061169729,0.2236953,0.375676941,0.050634406,0.058703122,0.06582636,0.163753461,0.818411952,0.54030572,0.335306645,0.180976819,0.090898871,0.03755981
415,0.310929741,0.418646609,0.060200062,0.349040592,0.220821072,0.059170556,0.050185712,0.306232026,0.161045314,0.205731095,0.07111883,0.060299877,0.224509785,0.376787884,0.050779407,0.058800885,0.065864018,0.167938608,0.83100368,0.541902051,0.335640741,0.180226327,0.090763245,0.036903829
416,0.309013613,0.418360656,0.060398504,0.348678062,0.221880186,0.059059187,0.050635528,0.310040076,0.159159972,0.207040866,0.071852251,0.060664719,0.227921409,0.37445893,0.051146679,0.057518336,0.066127547,0.171156402,0.845185995,0.543568169,0.336460801,0.180536396,0.090620442,0.036251996
417,0.311528465,0.42102011,0.059759026,0.346597129,0.222215471,0.059949837,0.050644953,0.313399389,0.157603653,0.207588649,0.070878757,0.060551578,0.226787853,0.376941081,0.050879214,0.057355926,0.066404809,0.173187779,0.857931699,0.54798185,0.335835595,0.179795914,0.090628596,0.037057595
418,0.311518189,0.422848121,0.059523553,0.346030787,0.220837821,0.059572236,0.050985123,0.315825829,0.157164651,0.207993898,0.071144584,0.060104041,0.229205763,0.375586368,0.050957357,0.057875041,0.066665533,0.175544581,0.866961185,0.550673567,0.335586509,0.179650636,0.090048419,0.036520723
419,0.312514184,0.422667971,0.05964922,0.345134363,0.220721112,0.059969401,0.050854904,0.316871702,0.155304202,0.208318708,0.071601006,0.060305979,0.232595467,0.373124478,0.051112079,0.058431543,0.067006239,0.178011765,0.876085257,0.551284375,0.33548525,0.18101992,0.089591901,0.036978677
420,0.311513502,0.424721926,0.059495181,0.344394061,0.219808882,0.059576459,0.051143859,0.321377838,0.154347378,0.208566473,0.071139398,0.060397331,0.23244173,0.373496112,0.050675352,0.057315073,0.06665869,0.179022402,0.882685149,0.551647966,0.335275079,0.180722248,0.089641691,0.036732486
421,0.310691433,0.42584656,0.059299868,0.343317377,0.21891053,0.059393061,0.0508819,0.321504517,0.153468168,0.208329761,0.071233256,0.060303741,0.235697973,0.372315319,0.050634215,0.057337624,0.066805692,0.180351575,0.886266053,0.550582267,0.337562042,0.181217422,0.090618072,0.036944593
422,0.312599922,0.425627825,0.058810195,0.344685258,0.218301084,0.058976277,0.051440247,0.324013934,0.152134747,0.208588048,0.071672693,0.060246774,0.237449978,0.370006036,0.050406003,0.056861699,0.066868187,0.181811572,0.890496412,0.550410446,0.338028285,0.180831458,0.090335506,0.036622934
423,0.312875556,0.425903734,0.058300955,0.343919127,0.217021422,0.059040653,0.051979366,0.328700703,0.150838906,0.207351049,0.071497204,0.060387246,0.240258403,0.368584178,0.050410626,0.057548887,0.067030273,0.183962131,0.893028384,0.548583973,0.33959229,0.18034183,0.090418984,0.036641473
424,0.315321581,0.429425062,0.058837796,0.345059187,0.216161791,0.058465596,0.0516777,0.330694416,0.150625533,0.205593353,0.071650576,0.060291915,0.245273473,0.368276386,0.050412504,0.056864362,0.067406377,0.186481756,0.90181287,0.550864395,0.340033193,0.181006257,0.09038181,0.036650598
425,0.31740452,0.428169143,0.058407103,0.346584328,0.215359178,0.058359754,0.051788699,0.33344782,0.149371802,0.206118873,0.071757632,0.060315561,0.24893135,0.367459952,0.050758336,0.056671835,0.067592752,0.191020793,0.903144756,0.550727027,0.338292095,0.181125904,0.09056139,0.03659135
426,0.319653735,0.428842472,0.057996534,0.347508109,0.215437826,0.058453155,0.051818754,0.334735631,0.14826719,0.2055477,0.072261167,0.059875922,0.250647403,0.365281755,0.050741641,0.056641239,0.067437319,0.193808622,0.90179336,0.552896295,0.337611615,0.181934689,0.090474135,0.036362448
427,0.321169934,0.432157585,0.058132801,0.345274285,0.215278328,0.058157031,0.052729771,0.341098729,0.147999063,0.203812689,0.071997646,0.060479787,0.253285311,0.363710335,0.05107882,0.056722063,0.068545794,0.198280012,0.904282455,0.550268984,0.337382716,0.183115826,0.090099697,0.036948763
428,0.32382346,0.433759851,0.058003193,0.346383791,0.215316044,0.058323623,0.052846228,0.342692197,0.147579253,0.20286267,0.072494907,0.060517722,0.258457112,0.362072128,0.051361809,0.056499633,0.068605014,0.203427046,0.911052161,0.552968919,0.339031219,0.182610865,0.090145777,0.037202975
429,0.325684714,0.435501781,0.058008377,0.345530533,0.214609253,0.059158723,0.052511391,0.347366081,0.148047847,0.201831327,0.073193633,0.060734352,0.259988339,0.359989043,0.051487182,0.056799401,0.068673741,0.207449052,0.909806913,0.554505658,0.339792861,0.182870044,0.089980633,0.037378682
430,0.327099235,0.43721561,0.057918837,0.343586448,0.214143597,0.059177659,0.053067112,0.350254875,0.148429475,0.200188727,0.073139177,0.060937227,0.263257609,0.358764043,0.052184857,0.056855718,0.070069959,0.212110899,0.912906716,0.555688754,0.34093405,0.184391195,0.090394921,0.036795126
431,0.327428408,0.437994146,0.058140433,0.342674595,0.214510843,0.059088096,0.054013858,0.353497126,0.147065748,0.199566447,0.073452018,0.06086547,0.263332828,0.35943759,0.052813356,0.056691373,0.069493599,0.217015652,0.912037658,0.55352704,0.341943641,0.184006437,0.08897728,0.037784899
432,0.327977374,0.437820457,0.057909926,0.340381291,0.213978729,0.058819638,0.053264333,0.356488336,0.145975125,0.197179972,0.073178124,0.061723526,0.265790916,0.355151082,0.052613207,0.056981775,0.069089777,0.219763451,0.911971929,0.556130913,0.341991184,0.183695061,0.089089301,0.037573236
433,0.331710951,0.438050741,0.058539702,0.341021099,0.21328566,0.058544428,0.054268536,0.358750605,0.145008704,0.196241546,0.073665996,0.062038958,0.270182551,0.351909072,0.052732587,0.056468365,0.070049764,0.223983837,0.913036614,0.558673536,0.344937141,0.183696981,0.089458063,0.037582613
434,0.332387072,0.439322256,0.058009476,0.343297095,0.21469368,0.058441723,0.054028424,0.36355055,0.145872838,0.195617984,0.074322887,0.062622974,0.274528895,0.350183178,0.052047693,0.056252398,0.06914261,0.226612668,0.916774583,0.560531524,0.344107711,0.184664213,0.089511197,0.037042557
435,0.334243271,0.440306719,0.058130737,0.342481897,0.213594963,0.058908154,0.054232377,0.363777678,0.14447244,0.193515271,0.073981891,0.062214712,0.276473729,0.344875147,0.05258931,0.056101395,0.069964216,0.228308106,0.91221644,0.556830553,0.345092775,0.184644092,0.089295212,0.037105646
436,0.334678133,0.444425857,0.058581204,0.343045716,0.213301116,0.058795666,0.054114654,0.367696179,0.143908066,0.191766634,0.073852891,0.061891477,0.282044388,0.343329991,0.05280437,0.056369965,0.070272589,0.233180029,0.914871516,0.558742042,0.346781877,0.184673508,0.08966375,0.037095685
437,0.336525433,0.44628236,0.058287732,0.341058544,0.213012229,0.058836433,0.054196187,0.371460649,0.143515724,0.189739253,0.074126463,0.06202684,0.286315062,0.341065046,0.053206683,0.055630652,0.070456487,0.238027327,0.916878356,0.561453569,0.345011892,0.184776176,0.088811939,0.036784865
438,0.336580884,0.447296697,0.058195276,0.341485483,0.214041922,0.05851321,0.053970935,0.369795611,0.142226523,0.188295681,0.074644921,0.062314219,0.29097493,0.339858878,0.052440718,0.055068428,0.070541369,0.242726854,0.914823321,0.560406335,0.346668616,0.185480011,0.089955181,0.036907579
439,0.33904759,0.449951126,0.05860014,0.342619928,0.213799562,0.059022235,0.054477547,0.374779133,0.1414001,0.187004457,0.075100562,0.062190506,0.295178516,0.33655009,0.053010872,0.055665375,0.071458198,0.248412813,0.915072044,0.562680046,0.346281866,0.18671535,0.090298839,0.036917815
440,0.342251729,0.450150312,0.058807738,0.343408775,0.214108102,0.058668437,0.054170009,0.377125636,0.141066254,0.184893088,0.075869203,0.062887647,0.299390972,0.333905354,0.052751674,0.05575231,0.07213706,0.254576941,0.920259378,0.565075134,0.348911901,0.188758789,0.090361872,0.037354298
441,0.341711251,0.449902821,0.058865453,0.341937054,0.21459479,0.058570671,0.054907296,0.37673023,0.140126285,0.182422723,0.075558646,0.062999595,0.301774858,0.328825198,0.053237742,0.055734427,0.071990107,0.258939164,0.918223442,0.562412526,0.35009796,0.18861437,0.090299983,0.037155265
442,0.341782246,0.450269808,0.058611388,0.341387905,0.212800609,0.058671077,0.05476832,0.377545113,0.138856715,0.180405489,0.075713787,0.06314559,0.305440938,0.32877527,0.052768511,0.054482036,0.072293501,0.264026375,0.918322885,0.563148018,0.347180518,0.188354913,0.088965474,0.037226462
443,0.343359467,0.450620195,0.058837007,0.339191807,0.211832552,0.058779578,0.054340847,0.376950149,0.137500713,0.177244588,0.075524766,0.063399514,0.307325986,0.326716982,0.053125692,0.054731391,0.072403033,0.26933969,0.918828134,0.562756245,0.346440939,0.188752811,0.088542318,0.037027009
444,0.345617611,0.452238616,0.059160652,0.337547716,0.21318335,0.059049191,0.055396511,0.379506634,0.136637849,0.175090043,0.075883278,0.063829811,0.312215607,0.325421254,0.05345868,0.054363549,0.072679577,0.275605099,0.919959352,0.564651426,0.347442921,0.188276542,0.08902253,0.036822601
445,0.347941167,0.45342157,0.058369764,0.337814437,0.212563928,0.059004923,0.054942774,0.37848294,0.138008138,0.174194793,0.076317134,0.0638337,0.314789662,0.320935576,0.053853313,0.054216833,0.073867332,0.282360764,0.920613731,0.564721524,0.34817247,0.188758556,0.089152927,0.036587611
446,0.348694379,0.450918699,0.058366429,0.335661453,0.212657689,0.05907489,0.054700358,0.379461912,0.136520903,0.172088891,0.077073174,0.063781231,0.318356156,0.316229882,0.053990585,0.053828234,0.073787711,0.286574146,0.915281105,0.565561115,0.348199088,0.186916878,0.089293623,0.03660208
447,0.351223086,0.453291345,0.059231895,0.335657323,0.213318065,0.059430098,0.055498836,0.380499211,0.136002287,0.171034541,0.077717932,0.06449667,0.321809081,0.313445963,0.054427701,0.053540309,0.074552044,0.291067786,0.918522148,0.566692039,0.34992456,0.188041646,0.089395993,0.036730483
448,0.351867964,0.450679767,0.058851142,0.333513688,0.213361998,0.059303572,0.055263798,0.379338858,0.135624815,0.168303846,0.077376102,0.064138758,0.324295362,0.310235328,0.054816299,0.053273079,0.074583127,0.293240932,0.915840373,0.565331128,0.349116278,0.187686138,0.089331938,0.036630853
449,0.355226685,0.455255397,0.058756135,0.333135335,0.213882543,0.05979189,0.055996759,0.382898436,0.134952739,0.167391488,0.077992166,0.064845287,0.329380833,0.310020557,0.055261321,0.05347406,0.075275376,0.298763704,0.922266624,0.566860382,0.350335009,0.187884537,0.089564117,0.036918072
450,0.355245134,0.455085815,0.058524802,0.331268347,0.214324921,0.059379163,0.055912989,0.382194074,0.134294534,0.16436954,0.078321184,0.064782648,0.333408571,0.305897497,0.055860974,0.052508922,0.075686141,0.301629065,0.92272302,0.564840958,0.348990874,0.187691241,0.088786493,0.036955238
451,0.359136087,0.453195958,0.058951588,0.330413849,0.214863774,0.059425064,0.05602487,0.384646928,0.134663029,0.162510171,0.079187344,0.064989581,0.33780901,0.302764594,0.056266503,0.052935951,0.076278702,0.305471518,0.922340861,0.563398975,0.349068023,0.186796156,0.089068774,0.037266123
452,0.360807151,0.449622585,0.059225477,0.328068232,0.214901955,0.058753777,0.055913508,0.384421497,0.133815236,0.159878961,0.079824,0.064971837,0.340965865,0.299715666,0.057159744,0.052245115,0.076805955,0.30726185,0.920836397,0.564309291,0.347791993,0.189020844,0.089148778,0.036642159
453,0.364006685,0.450193288,0.059168862,0.32715557,0.214494163,0.059225771,0.056890593,0.385092135,0.133249294,0.15715778,0.0810992,0.065236749,0.343981832,0.297007968,0.058193806,0.052133599,0.076874213,0.309429169,0.922225951,0.563051601,0.348347456,0.188736957,0.089389313,0.037465089
454,0.366601969,0.449046136,0.05979865,0.326653252,0.214942699,0.059809373,0.056704362,0.384596362,0.132729587,0.155437843,0.081490394,0.065149418,0.349453499,0.293098265,0.058592907,0.052175052,0.077408037,0.312102736,0.923557324,0.564869832,0.348990844,0.188532218,0.090178312,0.0369535
455,0.367930618,0.447506018,0.060043696,0.324949259,0.215518013,0.059478631,0.056928909,0.385235546,0.131903385,0.152685219,0.082262946,0.066170963,0.351616206,0.291661224,0.059188169,0.052208416,0.078316308,0.312108522,0.924111808,0.563714358,0.347496923,0.188228065,0.088811421,0.037291743
456,0.372228492,0.448108573,0.059686171,0.32479686,0.216954831,0.060683958,0.057155262,0.384335844,0.132403528,0.150807949,0.083213678,0.066373714,0.355570421,0.288606283,0.0602899,0.05219919,0.079278569,0.313793067,0.926292427,0.568013042,0.347900331,0.188983337,0.08866597,0.037817106
457,0.376161527,0.448109821,0.060999295,0.323597247,0.217755507,0.060179973,0.057514929,0.38377901,0.1316565,0.149599615,0.083717383,0.067033413,0.35941719,0.287633737,0.06051704,0.052458938,0.07953386,0.315956177,0.924911173,0.568367923,0.351436941,0.189857343,0.08989939,0.037520976
458,0.37916805,0.447172475,0.060846541,0.321888289,0.217509372,0.059688485,0.057525092,0.382453248,0.129906045,0.146560388,0.08448153,0.067208465,0.36088142,0.283456285,0.061968214,0.052388089,0.079836471,0.31693973,0.919862267,0.569739743,0.350187249,0.188241461,0.089360642,0.037068271
459,0.382667442,0.447474871,0.061239165,0.321192375,0.220004372,0.059783708,0.057523882,0.381600181,0.129325182,0.145368561,0.085209133,0.067588288,0.364836053,0.280617713,0.062292646,0.053002861,0.08017465,0.315443348,0.916167106,0.56931548,0.347950058,0.18824457,0.088811603,0.037529399
460,0.386842214,0.444109395,0.061818231,0.318766315,0.221004645,0.059988149,0.058273728,0.378630987,0.129215104,0.143948376,0.086477362,0.068235653,0.370554932,0.278446885,0.063375412,0.05227022,0.081028998,0.316566351,0.918468823,0.56912782,0.348460284,0.188798047,0.088829256,0.037174074
461,0.388402814,0.442203881,0.061974752,0.31859544,0.221926841,0.059969388,0.058569797,0.375994645,0.128270584,0.141495723,0.086737496,0.068701422,0.372810254,0.274953877,0.063926044,0.051990057,0.081882839,0.315111472,0.91826325,0.568439051,0.345946462,0.187980474,0.089063586,0.03713784
462,0.393214898,0.441452814,0.061468402,0.318478056,0.222803258,0.060115629,0.058154081,0.375965547,0.127416156,0.139370883,0.087261453,0.068511274,0.376159128,0.27267547,0.064817233,0.051894159,0.082763509,0.312623993,0.92112148,0.564882664,0.345519516,0.187031783,0.08895042,0.037219059
463,0.398819847,0.440483173,0.063214651,0.316475966,0.225222251,0.060110679,0.058501438,0.375842172,0.127115723,0.13829159,0.088000521,0.069562077,0.380775986,0.270844728,0.066815146,0.051887259,0.083320469,0.31118544,0.923154735,0.567069086,0.345978928,0.187425316,0.089006209,0.03722915
464,0.405636676,0.440341538,0.06329315,0.316832938,0.228960156,0.060307954,0.058712586,0.375190622,0.126600796,0.136597871,0.089585117,0.070896526,0.387218177,0.268599047,0.069242147,0.051749411,0.084662152,0.310758552,0.92353664,0.5694495,0.347440461,0.188295933,0.089016169,0.037121515
465,0.409210481,0.440476507,0.063935607,0.316426653,0.23218616,0.060474621,0.059695474,0.373364445,0.124627746,0.134758912,0.091465846,0.072459891,0.392335292,0.26615167,0.071738026,0.052300345,0.086247206,0.309053435,0.925121178,0.569270183,0.346270274,0.188280732,0.089006628,0.037049337
466,0.412866015,0.438452362,0.064785923,0.315641413,0.234849888,0.060982497,0.058928847,0.370363746,0.125051331,0.133442282,0.092153825,0.071861811,0.395692544,0.264606341,0.07270291,0.052011068,0.086590132,0.304666863,0.923013039,0.568815062,0.347001856,0.188990472,0.087982162,0.037543607
467,0.418813327,0.436055023,0.064404517,0.314571286,0.236487428,0.060114554,0.05979853,0.368398271,0.124599895,0.13175123,0.093983563,0.073233079,0.400217695,0.261670654,0.075472868,0.051536253,0.08806202,0.30178054,0.925916118,0.569069362,0.346444295,0.187475774,0.087879979,0.037143092
468,0.425433614,0.432490443,0.064915723,0.314161516,0.239022101,0.059519831,0.060239654,0.365997748,0.124382959,0.130577699,0.094735726,0.074127058,0.40254792,0.258426804,0.077325368,0.051088388,0.089024482,0.298373531,0.925663568,0.569466153,0.347165323,0.186424553,0.08782658,0.037359671
469,0.429751419,0.429704703,0.065396247,0.312298023,0.241788062,0.060153877,0.059433854,0.360976634,0.123189257,0.128100054,0.096225976,0.07450765,0.404864853,0.255559353,0.080565832,0.051016737,0.08971111,0.292273493,0.924615487,0.570768339,0.345574743,0.18614969,0.087519016,0.036876429
470,0.435879594,0.430736543,0.065747451,0.311687273,0.246719543,0.059457301,0.060182609,0.357187386,0.122542818,0.126190636,0.097844208,0.075485074,0.406784096,0.253153395,0.084115636,0.051202707,0.092221264,0.290631471,0.929205056,0.572438778,0.346670012,0.186825817,0.088124688,0.037350325
471,0.441844938,0.429043833,0.065921485,0.310991957,0.25143327,0.059718523,0.060416004,0.352416392,0.123018166,0.124032049,0.098764118,0.075258337,0.40874934,0.249738904,0.086683317,0.051031347,0.093400405,0.28504754,0.928323266,0.572016734,0.347051488,0.187298814,0.088390998,0.037797158
472,0.450366985,0.428122312,0.067663657,0.309194817,0.255868822,0.059482925,0.060721232,0.350357284,0.121889588,0.122330071,0.101546368,0.077017082,0.41358962,0.248022321,0.090060184,0.051133027,0.094493175,0.280169693,0.926572298,0.57168488,0.348717289,0.187769045,0.088925093,0.038015497
473,0.455011772,0.425595229,0.068074175,0.308568865,0.260461576,0.06039458,0.06074185,0.349067658,0.121516885,0.121298838,0.103503699,0.07803021,0.416187211,0.245831126,0.093384929,0.050925503,0.097347607,0.275699048,0.927136903,0.573232628,0.347310148,0.187752378,0.088553795,0.037304384
474,0.463667197,0.422004964,0.068329501,0.307373526,0.26308341,0.059847747,0.060150761,0.343396351,0.12106487,0.119305767,0.105152201,0.07976009,0.418529805,0.242463189,0.098066573,0.05118711,0.098134402,0.267404134,0.929344519,0.572234842,0.348591562,0.187515734,0.088172735,0.038125709
