visible:R:Normalised,visible:G:Normalised,visible:B:Normalised
10.2847595,18.65361121,18.48142816
15.62506015,15.87029225,22.93097039
8.32877701,9.803183568,6.143016508
14.53507948,20.83311246,29.47930028
58.9535692,37.90095649,28.92666519
17.33524998,9.981581466,6.768568799
20.62610717,8.938755035,2.623230101
4.70648718,7.414229212,15.32614686
32.45045041,11.92194144,8.906461852
11.5871355,6.998293944,10.82409527
33.85882963,37.13108764,14.32900237
62.35622342,34.38134845,9.757276527
2.762817054,7.666623274,11.82804214
21.22476004,8.66008482,10.9688961
41.02032018,29.42186139,8.218407901
28.96005843,7.387560284,3.721128569
7.645794624,15.80801765,8.347093902
3.377201605,6.562592417,17.30348964
26.16223647,26.12406741,25.80649306
20.62820474,20.55453355,20.30144451
14.90220557,14.92095951,14.62983819
8.908809616,8.920948163,8.781608155
4.240862967,4.255513625,4.089954331
1.386249841,1.419988095,1.430843739