V_mean,Sv_mean,M_mean,L_mean
0.337799226,0.361857369,0.362948787,0.358391629
0.198018203,0.213430125,0.213877888,0.215156112
0.107000816,0.12284385,0.116953069,0.113710037
0.061018015,0.077949284,0.066475371,0.060761758
0.011594344,0.027983386,0.014318839,0.008682853
0.000001,0.000017003,0.000001,0.000001
0.000001713,0.000728129,0.000002241,0.000001
0.01682576,0.034532931,0.032725852,0.034809876
0.033360598,0.049691318,0.05870136,0.07498244
0.139891945,0.179404656,0.231112348,0.127884681
0.126501255,0.169393688,0.286338269,0.202398188
0.073699413,0.09713919,0.111133231,0.079675278
0.59009226,0.732966281,0.793829291,0.546526349
0.212242045,0.270976035,0.392388753,0.241711802
0.329281071,0.384729374,0.39729552,0.238562361
0.369907189,0.411035763,0.331606282,0.195798539
0.496902675,0.514198091,0.258769464,0.159405642
0.565685314,0.602186581,0.372118194,0.249309915
0.584050786,0.651184432,0.524276835,0.382134448
0.589766477,0.611191254,0.37802408,0.326845161
0.349349722,0.362847472,0.178309975,0.093001062
0.194150919,0.208419129,0.103573933,0.04499124
0.236059485,0.248217941,0.117591999,0.055694127
0.210109572,0.198710925,0.072371343,0.133442305
0.606568395,0.555871403,0.267400823,0.462782246
0.722772876,0.63837836,0.154256334,0.57963688
0.275758023,0.263024897,0.19589029,0.301944708
0.226005978,0.193074194,0.288259129,0.653483023
0.192890988,0.158164004,0.23441802,0.576104242
0.215141312,0.209222609,0.354753977,0.618582561
0.281514287,0.240047959,0.198197459,0.475164774
0.219735497,0.156880481,0.183598764,0.644753604
0.195180578,0.141211544,0.185855551,0.614030788
0.172168276,0.131197764,0.189699424,0.555571009
0.112517652,0.082146034,0.244612373,0.644974771
0.104982669,0.089247759,0.257076783,0.568532706
0.165139059,0.140424532,0.287830545,0.659590778
0.077711602,0.080881387,0.332911808,0.660712702
0.07628453,0.145537098,0.489444649,0.571675446
0.498056396,0.451772409,0.248360258,0.612791895
0.387276667,0.349137626,0.262204968,0.632836133
0.185142577,0.25788452,0.443838262,0.556444396
0.208334509,0.21725895,0.385161264,0.595935434
0.179406704,0.197897389,0.363870612,0.471652322
0.23054487,0.257743367,0.425928962,0.515080906
0.302319738,0.34283171,0.486682758,0.546160418
0.455945623,0.508573532,0.536895379,0.543352476
0.454996142,0.505395571,0.530441258,0.533896799